rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
151,frame_0198.jpg,79.2,0.6099,0.7437,0.5,0.44,18,10,False,False
152,frame_0306.jpg,122.4,0.6093,0.8825,0.4,0.24,20,8,False,False
153,frame_0278.jpg,111.2,0.6089,0.8257,0.6,0.08,25,12,False,False
154,frame_0303.jpg,121.2,0.607,0.89,0.3,0.36,18,6,False,False
155,frame_0189.jpg,75.6,0.6058,0.7895,0.65,0.08,24,13,False,False
156,frame_0007.jpg,2.8,0.6046,0.8272,0.45,0.28,16,9,False,False
157,frame_0311.jpg,124.4,0.6043,0.9227,0.45,0.04,27,9,False,False
158,frame_0212.jpg,84.8,0.6039,0.7998,0.6,0.12,16,12,False,False
159,frame_0204.jpg,81.6,0.6029,0.8557,0.45,0.2,15,9,False,False
160,frame_0389.jpg,155.6,0.6029,0.7677,0.65,0.12,33,13,False,False
161,frame_0029.jpg,11.6,0.602,0.932,0.4,0.08,22,8,False,False
162,frame_0114.jpg,45.6,0.6012,0.8203,0.45,0.28,23,9,False,False
163,frame_0296.jpg,118.4,0.6,0.8801,0.4,0.2,20,8,False,False
164,frame_0396.jpg,158.4,0.5999,0.7758,0.6,0.16,26,12,False,False
165,frame_0319.jpg,127.6,0.5992,0.8764,0.35,0.28,30,7,False,False
166,frame_0011.jpg,4.4,0.5982,0.8884,0.3,0.32,15,6,False,False
167,frame_0206.jpg,82.4,0.5968,0.8457,0.5,0.12,15,10,False,False
168,frame_0173.jpg,69.2,0.5965,0.7789,0.45,0.36,25,9,False,False
169,frame_0299.jpg,119.6,0.5961,0.8242,0.4,0.32,22,8,False,False
170,frame_0282.jpg,112.8,0.5959,0.8599,0.5,0.08,20,10,False,False
171,frame_0010.jpg,4.0,0.592,0.8601,0.3,0.36,15,6,False,False
172,frame_0294.jpg,117.6,0.5919,0.8358,0.5,0.12,18,10,False,False
173,frame_0287.jpg,114.8,0.5915,0.8349,0.5,0.12,19,10,False,False
174,frame_0382.jpg,152.8,0.5911,0.8503,0.5,0.08,30,10,False,False
175,frame_0194.jpg,77.6,0.5897,0.7974,0.45,0.28,18,9,False,False
176,frame_0376.jpg,150.4,0.5891,0.7861,0.6,0.08,26,12,False,False
177,frame_0013.jpg,5.2,0.5878,0.8695,0.35,0.24,13,7,False,False
178,frame_0033.jpg,13.2,0.5878,0.9336,0.35,0.08,24,7,False,False
179,frame_0105.jpg,42.0,0.5861,0.8402,0.5,0.08,29,10,False,False
180,frame_0016.jpg,6.4,0.5853,0.9426,0.3,0.12,14,6,False,False
181,frame_0075.jpg,30.0,0.5847,0.8673,0.45,0.08,20,9,False,False
182,frame_0004.jpg,1.6,0.5843,0.7746,0.55,0.16,19,11,False,False
183,frame_0186.jpg,74.4,0.5835,0.7909,0.6,0.04,26,12,False,False
184,frame_0077.jpg,30.8,0.5821,0.7701,0.55,0.16,21,11,False,False
185,frame_0215.jpg,86.0,0.5821,0.8881,0.3,0.24,19,6,False,False
186,frame_0293.jpg,117.2,0.5812,0.8603,0.45,0.08,21,9,False,False
187,frame_0005.jpg,2.0,0.5808,0.8416,0.4,0.2,19,8,False,False
188,frame_0213.jpg,85.2,0.5807,0.8274,0.45,0.16,17,9,False,False
189,frame_0115.jpg,46.0,0.5806,0.7631,0.45,0.32,22,9,False,False
190,frame_0026.jpg,10.4,0.5805,0.8749,0.45,0.04,25,9,False,False
191,frame_0305.jpg,122.0,0.5789,0.8957,0.25,0.28,18,5,False,False
192,frame_0321.jpg,128.4,0.5788,0.8376,0.4,0.2,32,8,False,False
193,frame_0028.jpg,11.2,0.5761,0.8642,0.4,0.12,18,8,False,False
194,frame_0315.jpg,126.0,0.576,0.804,0.5,0.12,29,10,False,False
195,frame_0191.jpg,76.4,0.5756,0.7272,0.6,0.16,24,12,False,False
196,frame_0072.jpg,28.8,0.5739,0.8318,0.5,0.04,23,10,False,False
197,frame_0399.jpg,159.6,0.5734,0.7648,0.45,0.28,23,9,False,False
198,frame_0214.jpg,85.6,0.5716,0.8532,0.35,0.2,16,7,False,False
199,frame_0224.jpg,89.6,0.5696,0.8812,0.35,0.12,23,7,False,False
200,frame_0309.jpg,123.6,0.5693,0.8506,0.4,0.12,23,8,False,False
201,frame_0205.jpg,82.0,0.5683,0.8325,0.4,0.16,16,8,False,False
202,frame_0202.jpg,80.8,0.5664,0.7508,0.45,0.28,17,9,False,False
203,frame_0003.jpg,1.2,0.5644,0.8107,0.45,0.12,18,9,False,False
